team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase
Away,SET PIECE,KICK OFF,1,21,2.1,21,2.1,B23,,,,,,1
Away,PASS,PASS,1,21,2.1,35,3.5,B23,B20,0.5,0.5,0.4,0.51,1
Away,PASS,PASS,1,59,5.9,75,7.5,B20,B18,0.43,0.5,0.44,0.22,1
Away,PASS,PASS,1,100,10.0,114,11.4,B18,B17,0.47,0.19,0.31,0.28,1
Away,PASS,PASS,1,127,12.7,139,13.9,B17,B16,0.29,0.32,0.26,0.58,1
Away,PASS,PASS,1,158,15.8,170,17.0,B16,B15,0.26,0.66,0.27,0.91,1
Away,BALL LOST,INTERCEPTION,1,181,18.1,202,20.2,B15,,0.26,0.92,0.64,0.93,1
Away,CHALLENGE,GROUND-LOST,1,202,20.2,202,20.2,B23,,0.61,0.93,,,1
Home,CHALLENGE,GROUND-WON,1,202,20.2,202,20.2,A03,,0.62,0.92,,,1
Home,RECOVERY,INTERCEPTION,1,202,20.2,202,20.2,A03,,0.62,0.92,,,1
Home,BALL OUT,BALL OUT,1,202,20.2,214,21.4,A03,,0.62,0.92,0.54,1.01,1
Away,SET PIECE,THROW IN,1,269,26.9,269,26.9,B15,,,,,,1
Away,PASS,PASS,1,269,26.9,289,28.9,B15,B16,0.5,1.01,0.33,0.92,1
Away,PASS,PASS,1,308,30.8,324,32.4,B16,B17,0.29,0.84,0.23,0.53,1
Away,PASS,PASS,1,342,34.2,370,37.0,B17,B16,0.22,0.51,0.23,0.87,1
Away,PASS,PASS,1,370,37.0,379,37.9,B16,B15,0.23,0.87,0.28,0.99,1
Away,PASS,PASS,1,383,38.3,407,40.7,B15,B16,0.28,0.99,0.15,0.9,1
Away,BALL LOST,INTERCEPTION,1,407,40.7,435,43.5,B16,,0.15,0.9,0.51,0.7,1
Home,CHALLENGE,AERIAL-WON,1,434,43.4,434,43.4,A06,,0.51,0.75,,,1
Home,RECOVERY,INTERCEPTION,1,434,43.4,434,43.4,A06,,0.51,0.75,,,1
Home,BALL LOST,HEAD-INTERCEPTION,1,434,43.4,449,44.9,A06,,0.51,0.75,0.38,0.63,1
Away,CHALLENGE,AERIAL-LOST,1,435,43.5,435,43.5,B23,,0.5,0.75,,,1
Away,RECOVERY,INTERCEPTION,1,449,44.9,449,44.9,B21,,0.42,0.66,,,1
Away,PASS,PASS,1,462,46.2,468,46.8,B21,B20,0.4,0.67,0.36,0.65,1
Away,PASS,PASS,1,468,46.8,490,49.0,B20,B18,0.36,0.65,0.36,0.24,1
Away,PASS,PASS,1,516,51.6,528,52.8,B18,B24,0.49,0.18,0.62,0.18,1
Away,BALL LOST,INTERCEPTION,1,557,55.7,572,57.2,B24,,0.72,0.04,0.87,0.13,1
Home,RECOVERY,INTERCEPTION,1,573,57.3,573,57.3,A01,,0.87,0.13,,,1
Home,PASS,PASS,1,587,58.7,596,59.6,A01,A11,0.94,0.19,1.0,0.35,1
Home,PASS,PASS,1,596,59.6,632,63.2,A11,A09,1.0,0.35,0.59,0.14,1
Away,CHALLENGE,AERIAL-LOST,1,631,63.1,631,63.1,B18,,0.59,0.14,,,1
Home,CHALLENGE,AERIAL-WON,1,632,63.2,632,63.2,A09,,0.59,0.14,,,1
Home,BALL LOST,INTERCEPTION,1,632,63.2,645,64.5,A09,,0.59,0.14,0.52,0.29,1
Away,RECOVERY,INTERCEPTION,1,644,64.4,644,64.4,B16,,0.5,0.29,,,1
Away,BALL LOST,HEAD-INTERCEPTION,1,644,64.4,670,67.0,B16,,0.5,0.29,0.7,0.32,1
Home,RECOVERY,INTERCEPTION,1,669,66.9,669,66.9,A06,,0.68,0.28,,,1
Home,PASS,HEAD,1,669,66.9,678,67.8,A06,A07,0.68,0.28,0.68,0.37,1
Home,BALL LOST,HEAD,1,678,67.8,690,69.0,A07,,0.68,0.37,0.68,0.34,1
Away,RECOVERY,RECOVERY,1,689,68.9,689,68.9,B24,,0.67,0.33,,,1
Away,PASS,PASS,1,689,68.9,702,70.2,B24,B21,0.67,0.33,0.58,0.44,1
Away,PASS,PASS,1,712,71.2,738,73.8,B21,B15,0.59,0.48,0.56,0.84,1
Away,BALL LOST,INTERCEPTION,1,738,73.8,751,75.1,B15,,0.56,0.84,0.69,0.72,1
Home,RECOVERY,INTERCEPTION,1,750,75.0,750,75.0,A07,,0.68,0.71,,,1
Home,BALL LOST,INTERCEPTION,1,750,75.0,768,76.8,A07,,0.68,0.71,0.58,0.86,1
Away,RECOVERY,RECOVERY,1,766,76.6,766,76.6,B15,,0.56,0.88,,,1
Away,PASS,PASS,1,775,77.5,798,79.8,B15,B16,0.54,0.88,0.34,0.73,1
Away,PASS,PASS,1,810,81.0,832,83.2,B16,B17,0.32,0.68,0.32,0.38,1
Away,PASS,PASS,1,880,88.0,897,89.7,B17,B16,0.38,0.38,0.34,0.68,1
Away,PASS,PASS,1,914,91.4,928,92.8,B16,B15,0.35,0.71,0.43,0.94,1
Away,PASS,PASS,1,940,94.0,948,94.8,B15,B19,0.43,0.95,0.53,1.0,1
Away,BALL LOST,INTERCEPTION,1,948,94.8,967,96.7,B19,,0.53,1.0,0.65,0.79,1
Home,RECOVERY,INTERCEPTION,1,966,96.6,966,96.6,A03,,0.66,0.86,,,1
Home,PASS,PASS,1,966,96.6,976,97.6,A03,A08,0.66,0.86,0.51,0.94,1
Home,PASS,PASS,1,986,98.6,998,99.8,A08,A04,0.52,0.94,0.6,0.97,1
Home,PASS,PASS,1,1005,100.5,1019,101.9,A04,A03,0.61,0.97,0.76,0.87,1
Home,PASS,PASS,1,1042,104.2,1084,108.4,A03,A01,0.78,0.8,0.53,0.06,1
Home,PASS,PASS,1,1084,108.4,1094,109.4,A01,A05,0.53,0.06,0.6,0.13,1
Home,PASS,PASS,1,1116,111.6,1125,112.5,A05,A06,0.56,0.06,0.55,0.28,1
Home,PASS,PASS,1,1163,116.3,1170,117.0,A06,A10,0.48,0.37,0.33,0.41,1
Home,PASS,PASS,1,1170,117.0,1188,118.8,A10,A01,0.33,0.41,0.36,0.06,1
Home,BALL LOST,INTERCEPTION,1,1199,119.9,1215,121.5,A01,,0.34,0.04,0.19,0.29,1
Away,RECOVERY,INTERCEPTION,1,1214,121.4,1214,121.4,B17,,0.2,0.33,,,1
Away,PASS,PASS,1,1228,122.8,1253,125.3,B17,B18,0.16,0.28,0.18,0.04,1
Away,BALL LOST,BALL LOST,1,1253,125.3,1287,128.7,B18,,0.18,0.04,0.55,0.31,1
Home,RECOVERY,RECOVERY,1,1286,128.6,1286,128.6,A03,,0.54,0.32,,,1
Home,PASS,PASS,1,1300,130.0,1325,132.5,A03,A11,0.58,0.27,0.86,0.45,1
Home,PASS,PASS,1,1338,133.8,1357,135.7,A11,A02,0.86,0.45,0.72,0.12,1
Home,PASS,PASS,1,1371,137.1,1382,138.2,A02,A05,0.69,0.12,0.59,0.14,1
Home,PASS,PASS,1,1404,140.4,1411,141.1,A05,A09,0.57,0.13,0.43,0.13,1
Home,PASS,PASS,1,1442,144.2,1457,145.7,A09,A06,0.37,0.09,0.42,0.28,1
Home,PASS,PASS,1,1465,146.5,1470,147.0,A06,A09,0.4,0.27,0.4,0.19,1
Home,PASS,PASS,1,1470,147.0,1488,148.8,A09,A04,0.4,0.19,0.49,0.56,1
Home,PASS,PASS,1,1500,150.0,1519,151.9,A04,A08,0.47,0.59,0.3,0.95,1
Home,PASS,PASS,1,1532,153.2,1550,155.0,A08,A07,0.28,0.94,0.15,0.93,1
Home,PASS,PASS,1,1574,157.4,1584,158.4,A07,A04,0.2,0.94,0.33,0.85,1
Home,PASS,PASS,1,1612,161.2,1622,162.2,A04,A06,0.28,0.88,0.3,0.74,1
Home,PASS,PASS,1,1630,163.0,1639,163.9,A06,A05,0.3,0.74,0.31,0.58,1
Home,PASS,PASS,1,1653,165.3,1671,167.1,A05,A01,0.31,0.55,0.21,0.07,1
Home,PASS,PASS,1,1690,169.0,1702,170.2,A01,A05,0.2,0.08,0.26,0.3,1
Home,PASS,PASS,1,1705,170.5,1717,171.7,A05,A09,0.26,0.3,0.16,0.28,1
Home,PASS,PASS,1,1717,171.7,1734,173.4,A09,A01,0.16,0.28,0.15,0.12,1
Home,PASS,PASS,1,1745,174.5,1751,175.1,A01,A09,0.12,0.1,0.07,0.24,1
Home,PASS,PASS,1,1761,176.1,1768,176.8,A09,A05,0.05,0.24,0.13,0.23,1
Home,SHOT,OFF TARGET-OUT,1,1768,176.8,1778,177.8,A05,,0.13,0.23,-0.02,0.46,1
Away,RECOVERY,RECOVERY,1,1983,198.3,1983,198.3,B25,,0.03,0.5,,,1
Away,PASS,PASS,1,1983,198.3,2017,201.7,B25,B23,0.03,0.5,0.52,0.29,1
Away,CHALLENGE,AERIAL-WON,1,2017,201.7,2017,201.7,B23,,0.52,0.29,,,1
Away,PASS,PASS,1,2017,201.7,2041,204.1,B23,B18,0.52,0.29,0.38,0.19,1
Home,CHALLENGE,AERIAL-LOST,1,2018,201.8,2018,201.8,A02,,0.53,0.28,,,1
Away,PASS,PASS,1,2041,204.1,2052,205.2,B18,B22,0.38,0.19,0.5,0.03,1
Away,BALL LOST,BALL LOST,1,2052,205.2,2066,206.6,B22,,0.5,0.03,0.51,0.23,1
Home,RECOVERY,RECOVERY,1,2064,206.4,2064,206.4,A06,,0.5,0.23,,,1
Home,PASS,PASS,1,2089,208.9,2102,210.2,A06,A04,0.57,0.33,0.64,0.63,1
Home,PASS,PASS,1,2149,214.9,2160,216.0,A04,A10,0.49,0.8,0.28,0.64,1
Home,PASS,PASS,1,2160,216.0,2170,217.0,A10,A07,0.28,0.64,0.29,0.78,1
Home,PASS,PASS,1,2179,217.9,2193,219.3,A07,A08,0.26,0.78,0.24,0.92,1
Home,PASS,PASS,1,2193,219.3,2210,221.0,A08,A04,0.24,0.92,0.31,0.86,1
Home,PASS,PASS,1,2214,221.4,2225,222.5,A04,A08,0.31,0.86,0.23,0.99,1
Home,PASS,PASS,1,2256,225.6,2264,226.4,A08,A09,0.23,0.84,0.27,0.69,1
Home,PASS,PASS,1,2264,226.4,2275,227.5,A09,A04,0.27,0.69,0.31,0.87,1
Home,PASS,PASS,1,2283,228.3,2298,229.8,A04,A07,0.32,0.88,0.2,0.99,1
Home,PASS,PASS,1,2298,229.8,2306,230.6,A07,A09,0.2,0.99,0.19,0.86,1
Home,BALL LOST,BALL LOST,1,2306,230.6,2318,231.8,A09,,0.19,0.86,0.22,0.8,1
Away,RECOVERY,RECOVERY,1,2320,232.0,2320,232.0,B21,,0.21,0.8,,,1
Home,CHALLENGE,TACKLE-LOST,1,2328,232.8,2328,232.8,A07,,0.24,0.85,,,1
Away,PASS,PASS,1,2341,234.1,2347,234.7,B21,B15,0.24,0.88,0.18,0.85,1
Away,PASS,PASS,1,2354,235.4,2360,236.0,B15,B19,0.18,0.85,0.27,0.73,1
Away,PASS,PASS,1,2372,237.2,2384,238.4,B19,B16,0.23,0.73,0.09,0.67,1
Away,PASS,PASS,1,2384,238.4,2405,240.5,B16,B17,0.09,0.67,0.12,0.38,1
Away,PASS,PASS,1,2414,241.4,2432,243.2,B17,B18,0.14,0.33,0.29,0.07,1
Away,BALL OUT,BALL OUT,1,2440,244.0,2450,245.0,B18,,0.33,0.04,0.4,-0.01,1
Home,SET PIECE,THROW IN,1,2542,254.2,2542,254.2,A01,,,,,,1
Home,PASS,PASS,1,2542,254.2,2555,255.5,A01,A05,0.37,0.0,0.42,0.06,1
Home,PASS,PASS,1,2558,255.8,2568,256.8,A05,A09,0.41,0.08,0.36,0.27,1
Home,PASS,PASS,1,2598,259.8,2607,260.7,A09,A01,0.4,0.11,0.32,0.03,1
Home,BALL LOST,INTERCEPTION,1,2641,264.1,2652,265.2,A01,,0.21,0.15,0.13,0.44,1
Away,RECOVERY,INTERCEPTION,1,2652,265.2,2652,265.2,B16,,0.14,0.47,,,1
Away,PASS,PASS,1,2652,265.2,2679,267.9,B16,B23,0.14,0.47,0.42,0.28,1
Away,PASS,HEAD,1,2679,267.9,2690,269.0,B23,B24,0.42,0.28,0.4,0.45,1
Away,BALL LOST,INTERCEPTION,1,2699,269.9,2701,270.1,B24,,0.39,0.45,0.37,0.47,1
Home,RECOVERY,INTERCEPTION,1,2700,270.0,2700,270.0,A04,,0.39,0.48,,,1
Home,PASS,PASS,1,2700,270.0,2707,270.7,A04,A06,0.39,0.48,0.39,0.42,1
Home,PASS,PASS,1,2724,272.4,2732,273.2,A06,A01,0.36,0.38,0.41,0.35,1
Home,PASS,PASS,1,2732,273.2,2744,274.4,A01,A04,0.41,0.35,0.41,0.5,1
Home,PASS,PASS,1,2760,276.0,2777,277.7,A04,A08,0.43,0.53,0.31,0.94,1
Home,BALL OUT,BALL OUT,1,2829,282.9,2869,286.9,A08,,0.16,0.83,-0.01,0.18,1
Away,RECOVERY,RECOVERY,1,3140,314.0,3140,314.0,B25,,0.07,0.48,,,1
Home,CHALLENGE,AERIAL-FAULT-WON,1,3156,315.6,3156,315.6,A06,,0.63,0.3,,,1
Away,CHALLENGE,AERIAL-FAULT-LOST,1,3156,315.6,3156,315.6,B23,,0.63,0.27,,,1
Home,SET PIECE,FREE KICK,1,3260,326.0,3260,326.0,A06,,,,,,1
Home,PASS,PASS,1,3260,326.0,3280,328.0,A06,A04,0.65,0.32,0.69,0.67,1
Home,BALL LOST,INTERCEPTION,1,3326,332.6,3337,333.7,A04,,0.52,0.81,0.29,0.87,1
Away,RECOVERY,INTERCEPTION,1,3338,333.8,3338,333.8,B15,,0.34,0.88,,,1
Away,PASS,PASS,1,3354,335.4,3365,336.5,B15,B20,0.35,0.83,0.38,0.62,1
Away,PASS,PASS,1,3365,336.5,3376,337.6,B20,B21,0.38,0.62,0.43,0.72,1
Home,CHALLENGE,TACKLE-LOST,1,3392,339.2,3392,339.2,A06,,0.48,0.72,,,1
Away,CHALLENGE,TACKLE-WON,1,3394,339.4,3394,339.4,B21,,0.48,0.73,,,1
Away,PASS,PASS,1,3394,339.4,3410,341.0,B21,B15,0.48,0.73,0.46,0.88,1
Away,PASS,PASS,1,3410,341.0,3419,341.9,B15,B19,0.46,0.88,0.53,0.97,1
Away,BALL OUT,BALL OUT,1,3426,342.6,3439,343.9,B19,,0.56,0.95,0.75,1.0,1
Home,SET PIECE,THROW IN,1,3488,348.8,3488,348.8,A04,,,,,,1
Home,PASS,PASS,1,3488,348.8,3505,350.5,A04,A06,0.72,1.01,0.71,0.75,1
Home,PASS,PASS,1,3528,352.8,3545,354.5,A06,A05,0.68,0.69,0.68,0.44,1
